activity_id,user_id,date,session_type,distance_km,duration_min,pace_min_per_km,avg_hr_bpm,elev_gain_m,kms_z3_4,kms_z5_t1_t2,kms_sprinting,cadence_spm,gct_ms,stride_length_cm,vertical_oscillation_cm,gct_balance
104,1,2023-03-04,easy,2.005,13.39,6.679,128.8,0.8,0.0,0.0,0.0,156.0,234.1,200.0,7.0,0.469
105,1,2023-03-06,easy,1.473,10.31,7.001,135.2,8.2,0.0,0.0,0.0,168.5,239.4,200.0,6.4,0.527
106,1,2023-03-07,easy,1.426,9.69,6.795,125.3,33.9,0.0,0.0,0.0,161.4,246.8,200.0,6.9,0.496
107,1,2023-03-09,easy,1.614,11.43,7.082,124.9,0.0,0.0,0.0,0.0,166.9,229.7,200.0,5.0,0.49
108,1,2023-03-10,easy,1.464,10.11,6.908,129.1,13.4,0.0,0.0,0.0,162.8,231.3,200.0,5.0,0.55
109,1,2023-03-11,easy,1.443,10.17,7.048,128.4,37.7,0.0,0.0,0.0,162.2,195.5,200.0,5.8,0.54
110,1,2023-03-12,easy,1.52,11.08,7.291,126.5,19.4,0.0,0.0,0.0,151.0,252.8,200.0,6.5,0.515
111,1,2023-03-13,easy,1.194,8.43,7.063,128.7,22.1,0.0,0.0,0.0,163.9,220.8,200.0,8.3,0.45
112,1,2023-03-14,easy,1.274,9.25,7.26,125.8,0.0,0.0,0.0,0.0,162.7,242.9,200.0,7.7,0.467
113,1,2023-03-16,easy,0.996,8.0,6.998,124.4,30.7,0.0,0.0,0.0,164.5,263.3,200.0,7.5,0.507
114,1,2023-03-17,easy,0.873,8.0,6.446,128.0,0.0,0.0,0.0,0.0,161.8,241.8,200.0,7.9,0.539
115,1,2023-03-18,easy,1.282,8.71,6.791,133.0,0.0,0.0,0.0,0.0,162.0,262.7,200.0,6.5,0.54
116,1,2023-03-19,easy,1.323,9.54,7.212,127.8,0.0,0.0,0.0,0.0,158.7,231.5,200.0,6.3,0.507
117,1,2023-03-20,easy,1.105,8.0,7.018,130.3,0.0,0.0,0.0,0.0,155.8,205.4,200.0,7.3,0.45
118,1,2023-03-21,easy,1.316,8.63,6.557,126.5,0.0,0.0,0.0,0.0,158.9,248.2,200.0,11.0,0.487
119,1,2023-03-22,easy,1.777,12.49,7.028,128.2,45.9,0.0,0.0,0.0,155.1,253.8,200.0,8.5,0.498
120,1,2023-03-23,easy,1.484,10.66,7.183,124.4,0.0,0.0,0.0,0.0,163.6,233.5,200.0,6.1,0.529
121,1,2023-03-24,easy,1.755,12.04,6.86,125.7,0.0,0.0,0.0,0.0,157.1,254.7,200.0,8.6,0.535
122,1,2023-03-26,easy,1.362,9.58,7.034,127.7,0.0,0.0,0.0,0.0,166.9,254.0,200.0,6.4,0.461
123,1,2023-03-27,easy,1.318,8.89,6.748,126.1,44.4,0.0,0.0,0.0,159.7,245.6,200.0,5.0,0.508
124,1,2023-03-28,easy,1.465,10.74,7.331,129.2,39.2,0.0,0.0,0.0,156.5,214.0,200.0,5.0,0.45
125,1,2023-03-29,easy,1.589,11.42,7.186,129.3,0.0,0.0,0.0,0.0,161.3,249.5,200.0,6.3,0.509
126,1,2023-03-31,easy,1.364,9.57,7.013,127.9,0.0,0.0,0.0,0.0,163.7,222.2,200.0,11.0,0.509
127,1,2023-03-29,interval,1.5,5.25,3.5,180.0,0.0,0.0,0.0,1.5,180.0,250.0,120.0,8.0,50.0
128,1,2023-03-30,interval,1.5,5.25,3.5,180.0,0.0,0.0,0.0,1.5,180.0,250.0,120.0,8.0,50.0
129,1,2023-03-31,interval,1.5,5.25,3.5,180.0,0.0,0.0,0.0,1.5,180.0,250.0,120.0,8.0,50.0
130,1,2023-03-27,long,22.0,110.0,5.0,140.0,0.0,17.6,0.0,0.0,180.0,250.0,120.0,8.0,50.0
131,1,2023-03-28,long,22.0,110.0,5.0,140.0,0.0,17.6,0.0,0.0,180.0,250.0,120.0,8.0,50.0
132,1,2023-03-25,tempo,8.0,28.0,3.5,170.0,0.0,0.0,8.0,0.0,180.0,250.0,120.0,8.0,50.0
133,1,2023-03-26,tempo,8.0,28.0,3.5,170.0,0.0,0.0,8.0,0.0,180.0,250.0,120.0,8.0,50.0
